Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,AAPL,0.09974006876634967,2022-01-04,176.11650876271693,0.01756587269488281,2022-01-07,168.7115767440796,0.016827304266133776,-0.7729616057100501,-0.044003598291773166,Long,Closed,0
1,AAPL,0.008457626939359919,2022-01-04,176.11650876271693,0.0014895277289775721,2022-01-10,168.73115923309328,0.001427065197839238,-0.06537912406515081,-0.043892518946275515,Long,Closed,0
2,AAPL,0.05313022728554362,2022-01-04,176.11650876271693,0.009357110139299586,2022-01-11,171.56316232299807,0.0091151898080475,-0.26039263119943273,-0.027828317431659953,Long,Closed,0
3,AAPL,0.022335889195979952,2022-01-04,176.09431576973947,0.003933223125074806,2022-01-14,169.59350555419923,0.0037880217484164047,-0.1529226215318927,-0.03887972196568031,Long,Closed,0
4,AAPL,0.0035335099059645714,2022-01-04,175.72979559194482,0.000620942973497266,2022-01-25,156.5704488067627,0.0005532432318400148,-0.06887392786258885,-0.11091828203591399,Long,Closed,0
5,AAPL,0.22409616072848415,2022-01-04,175.57658403210144,0.039346038395415985,2022-01-28,166.90853889465333,0.03740356275909268,-2.0192252374778388,-0.0513196580856559,Long,Closed,0
6,AAPL,0.02175041973604941,2022-01-04,175.57658403210144,0.0038188643985199544,2022-01-31,171.26916571807863,0.003725176242211214,-0.10123219694947379,-0.026508455494965322,Long,Closed,0
7,AAPL,0.018500648037489853,2022-01-04,175.4296069609616,0.003245561413739928,2022-02-08,171.53641178894043,0.003173534780121112,-0.07844572981267948,-0.02417015727404917,Long,Closed,0
8,AAPL,0.0075492978932407695,2022-01-04,175.41707360774325,0.0013242757442253961,2022-02-14,165.6985118865967,0.0012509074266986151,-0.07594350069770608,-0.05734719602685722,Long,Closed,0
9,AAPL,0.02026722802565395,2022-01-04,175.41707360774328,0.0035552178304010533,2022-02-15,169.53483434295654,0.0034360011459201685,-0.12620790345720895,-0.03549934475969134,Long,Closed,0
